topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
topic51,franzos,paris,frankreich,chirac,sozialist,premierminist,sarkozy,le_monde,national,jospin,mitterrand,le_figaro,jacques_chirac,alstom,link,franc,liberation,la,nationalversamml,de,konservativ,front,le_pen,nicolas_sarkozy,staatschef,chiracs,francois_mitterrand,raffarin,royal,französische_regierung,françois,europas,recht,strassburg,lyon,marseill,premi,burg,jupp,minist,villepin,balladur,fn,wirtschaftszeit,lionel_jospin,afp,neogaullist,philipp,la_tribune,les_echos,rpr,libération,präsident_jacques_chirac,dumas,französische_zeitung,premierminister_lionel_jospin,udf,jacqu,palast,francois,ump,innenminist,alain_juppe,juppé,dominique_de_villepin,schreibt,korsika,areva,abend,verteid,französischen_regierung,gemeinsam,staatspräsident_jacques_chirac,kommunist,elyse,staatsprasident,claud,edouard_balladur,ps,vedrin,unabhang,gaullist,de_gaulle,grossbritanni,elysé,figaro,stund,sarkozys,atomt,französische_außenminister,republ,linksliberal,giscard,mururoa,saint,burgermeist,samstag,französischen_staatspräsidenten,französischen_präsidenten,regierung_in_paris
 ,0.136,0.125,0.117,0.023,0.011,0.01,0.009,0.008,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic52,krieg,mensch,welt,leb,fried,angst,gewalt,gefahr,nation,freiheit,kampf,geschicht,volk,leid,moral,opf,hoffnung,demokrati,konflikt,recht,feind,west,nie,tief,niemand,gefuhl,amerika,glaub,schlimm,furcht,all,terror,tun,inn,bild,menschlich,wirklich,bedroh,nachbarn,vergess,geword,sieg,tot,friedlich,jahrhundert,bevolker,aug,schrecklich,schicksal,gerecht,wer,brutal,tod,wort,bos,gewiss,oft,freund,tat,burg,zerstor,schreck,darf,wiss,histor,fuhl,uberall,grausam,tragodi,solidaritat,wut,trau,entschloss,sterb,hass,wahr,verlor,symbol,unschuld,schlacht,red,ereignis,fremd,misstrau,fuhr,vielleicht,herz,katastroph,elend,niemal,zeig,jahrzehnt,traum,chaos,einzig,gesellschaft,helf,gescheh,wahrheit,verstand
 ,0.023,0.023,0.018,0.015,0.014,0.013,0.013,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic53,jahrig,damal,mann,karri,alt,gilt,gebor,arbeitet,kam,gehort,spitz,anfang,begann,erfahr,gern,studiert,nie,job,stet,gelernt,erfolgreich,ging,fuhrt,vat,portrat,schliesslich,wechselt,nam,profil,vorgang,eher,galt,person,trat,gemacht,geburt,aufgab,kennt,leitet,erfolg,aufstieg,arbeit,geschicht,kenn,jurist,beruf,bracht,jung,wohl,stand,freund,hart,oft,setzt,sohn,ubernahm,kolleg,zog,geburtstag,bekannt,einst,grundet,machtig,promoviert,zuletzt,bild,spricht,lieb,wirkt,geword,sitzt,studium,art,mal,offent,ehemal,hoch,liess,steht,bevor,mitt,eng,vertraut,seitd,folgt,engagiert,gelang,langjahr,schafft,kontakt,ehrgeiz,verheiratet,schnell,inzwisch,best,zahlt,bald,kaum,manag,reich
 ,0.018,0.017,0.017,0.01,0.009,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic54,gesetz,recht,durf,regel,schutz,verbot,regeln,gesetzgeb,darf,vorschrift,erlaubt,bestimm,grundsatz,grundgesetz,gelt,rechtlich,geltend,zulass,bestimmt,artikel,verstoss,offent,streng,einschrank,entsprech,beschrank,ausnahm,erlass,burg,gilt,richtlini,verpflichtet,praxis,pflicht,geschutzt,verabschiedet,allgemein,geregelt,staatlich,besteh,verordn,verfass,kontroll,art,verhind,ausdruck,generell,verbiet,verpflicht,jurist,eingriff,geandert,eingeschrankt,anwend,and,einzeln,vorgab,betroff,grundlag,missbrauch,freiwill,einhalt,grundrecht,genehm,heisst,beschrankt,verankert,verscharft,garantiert,paragraph,vorgeschrieb,verfassungsrecht,wirksam,strikt,verscharf,verbietet,untersagt,erlaub,sogenannt,grenz,bedenk,gultig,festgelegt,gebrauch,freiheit,vereinbar,voraussetz,beispiel,aufheb,zugelass,prinzip,dadurch,genannt,paragraf,ansicht,norm,wonach,begrenzt,freie,zweck
 ,0.066,0.034,0.022,0.021,0.016,0.015,0.013,0.011,0.011,0.011,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic55,prozess,gericht,angeklagt,verurteilt,verfahr,anklag,verteid,urteil,jahrig,anwalt,staatsanwaltschaft,zeug,ex,landgericht,verantwort,ehemal,justiz,aussag,straf,haftstraf,schuldig,damal,vorwurf,verurteil,haft,vorgeworf,mord,staatsanwalt,bewahr,ausliefer,freispruch,haftbefehl,jahren_haft,beschuldigt,beantragt,gefordert,geldstraf,antrag,freiheitsstraf,schwer,oberlandesgericht,sech,wirft,untersuchungshaft,tat,jurist,mann,freigesproch,erhob,lebenslang,last,versucht,gefangnis,verhangt,gestandnis,jahre_haft,mandant,verhandlungstag,fortgesetzt,bundesgerichtshof,gelegt,beweis,bundesanwaltschaft,revision,pladoy,gesproch,vernehm,bewahrungsstraf,gestand,novemb,mitangeklagt,unschuld,neun,untreu,aufgehob,beteiligt,strafkamm,vorsitzende_richter,mutmass,bestritt,beruf,sieb,beihilf,strafmass,beginn,amtsgericht,gemacht,strafsenat,sah,dusseldorf,erwies,zweit,begonn,anklageschrift,gerichtssaal,sitzt,mild,februar,alt,rechtskraft
 ,0.057,0.037,0.034,0.027,0.021,0.021,0.02,0.018,0.017,0.014,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic56,ziel,erreicht,erfolg,erreich,ergebnis,zeigt,zufried,trotz,erzielt,erfolgreich,betont,schwierig,hervor,zuversicht,erstmal,fest,positiv,reif,gelung,erwart,voll,hob,nannt,dennoch,continental,gesetzt,conti,bezeichnet,zud,wort,aussert,raumt,angestrebt,bilanz,uberzeugt,verfehlt,phoenix,bess,ehrgeiz,nah,stellt,setzt,bleib,gegeb,optimist,erfullt,wertet,gemacht,durchbruch,sech,wesent,bring,hoch,lieg,verlauf,bisher,konkret,gezeigt,kundigt,sprach,gebracht,zugleich,weiterhin,schaff,stand,acht,laut,erziel,angesicht,erneut,besond,weitgeh,bleibt,schritt,zweit,fortsetz,gesteckt,zog,gekomm,knapp,basis,bislang,mindest,ursprung,vergang,innerhalb,erreichbar,blick,gleichzeit,ging,anfang,anstreng,stock,positive_bilanz,enttauscht,reifenherstell,gezog,bekraftigt,erheb,ledig
 ,0.074,0.041,0.037,0.035,0.03,0.029,0.024,0.024,0.014,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic57,koln,gutacht,pruf,prufung,heisst,anwalt,berat,uberpruf,dusseldorf,wirtschaftspruf,gepruft,schreib,erheb,kanzlei,rechtsanwalt,jurist,person,vorlieg,unabhang,rechtlich,tatsach,rechnungshof,gegenub,kpmg,zustand,gegeb,tatig,laut,deshalb,entsprech,nehm,festgestellt,anspruch,mangel,hinweis,uberpruft,bundesrechnungshof,stellungnahm,genannt,zud,vorgelegt,gemacht,sachverstand,auskunft,schriftlich,beauftragt,ergeb,haftung,empfehl,stellt,verpflichtet,pruft,ausserd,wesent,auftrag,sorgfalt,rat,nachweis,erford,feststell,vorliegt,betroff,genomm,ausreich,geschaftsfuhr,falsch,darin,ergebnis,dritt,anfrag,ledig,pflicht,besteh,handelt,abs,einzeln,enthalt,steuerberat,danach,dah,deutz,express,erklar,grundsatz,kenntnis,bewert,mandant,besteht,umstand,erstellt,voraussetz,wirtschaftsprufungsgesellschaft,zusammenhang,beteiligt,allgemein,bestimmt,einzelfall,wed,verlang,grundlag
 ,0.062,0.02,0.017,0.012,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic58,wer,ja,vielleicht,gar,mal,wirklich,warum,sag,eigent,wiss,natur,wohl,wort,einfach,eben,tun,mag,gern,recht,niemand,lieb,sach,namlich,paar,richtig,genau,red,lasst,gerad,darf,nie,tut,jedenfall,satz,all,bess,leut,uberhaupt,wahrheit,gewiss,oft,schlecht,bissch,begriff,beispiel,ide,ziemlich,klingt,gleich,leid,ding,manchmal,kommt,jemand,bos,sogar,denk,antwort,braucht,nein,tatsach,gesagt,hort,fragt,endlich,daran,art,wund,herr,schliesslich,mocht,wahr,sinn,bloss,tat,schlimm,verstand,ausgerechnet,genug,kennt,versteh,freilich,mog,gehort,glaub,redet,hor,glaubt,wenigst,wusst,gemeint,gedank,trotzd,angeb,her,ubrig,denkt,les,irgendwi,plotzlich
 ,0.02,0.016,0.012,0.012,0.011,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic59,gold,preis,nachfrag,je,rohstoff,tonn,weltweit,london,metall,aluminium,durft,erreicht,hoch,steigend,technisch,bestand,kupf,oben,zuletzt,angebot,erwart,unt,knapp,min,expert,steig,jung,kurzfrist,edelmetall,niedrig,dollar,goldpreis,produktion,gestieg,vergangenen_woche,silb,anhalt,anstieg,verkauf,niveau,welt,notier,produzent,tief,letzt,mark,unz,rohstoffpreis,vergang,langfrist,sicht,analyst,zack,inzwisch,mittelfrist,liegt,zunehm,entwickl,aktuell,lme,sogar,verarbeit,pro,gering,kraftig,platin,gefall,alcoa,innerhalb,gegenwart,rechn,trend,aufwartstr,vorrat,lasst,analys,kanad,fuhrt,bedarf,kaum,ne,wahrschein,zink,bereich,abwartstr,ebenfall,gegenub,alcan,verstarkt,wert,bhp,schwach,lieg,leicht,austral,dah,erhol,feinunz,druck,kauf
 ,0.024,0.023,0.012,0.012,0.01,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic60,druck,steht,durft,droht,gerat,heisst,bislang,deshalb,kommt,furcht,gefahr,hart,massiv,lang,seh,wach,kaum,zud,dah,widerstand,expert,gilt,offenbar,bring,befurcht,sogar,versuch,setz,folg,verhind,ohnehin,sorg,droh,angesicht,inzwisch,furchtet,bald,verli,drang,wahrschein,versucht,tatsach,allein,zumind,schnell,ahnlich,dennoch,schwer,thema,nehm,wohl,sicht,schliesslich,jung,off,drangt,treib,bekomm,bringt,auss,zieh,bevor,kurzlich,ind,unwahrschein,heftig,voran,zwing,bereitet,hoch,vermut,bleib,stosst,moglicherweis,spricht,fraglich,lauf,schwierig,scheint,and,drohend,daran,mittlerweil,stoss,kipp,glaubt,gezwung,angst,gesetzt,womog,klein,szenario,genug,sorgt,schlag,verweis,beweg,bleibt,lauft,obwohl
 ,0.05,0.021,0.021,0.019,0.019,0.017,0.017,0.014,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic61,hiess,teilt,bekannt,angekundigt,gegeb,zunach,zuvor,bestatigt,sprecherin,woll,mitteil,kundigt,liby,nachd,erneut,schritt,einzel,mitgeteilt,begrundet,entsprech,gemacht,genannt,weiterhin,vergangenen_woche,ausserd,libysch,vorerst,unterdess,dezemb,nannt,offiziell,gekomm,begrund,vorlauf,geword,ursprung,mitteilt,ledig,aufgenomm,gaddafi,bislang,ausgesetzt,zugleich,ankund,april,moglicherweis,gestellt,eigenen_angaben,zud,anfrag,ebenfall,laut,gestoppt,betont,gefuhrt,endgult,vortag,kurz,uberrasch,danach,bezeichnet,veroffentlicht,offenbar,verantwort,getroff,tripolis,nenn,beendet,zusammenhang,angenomm,hintergrund,reagiert,dienstagab,lockerbi,gebracht,bisher,juli,marz,zuruckgezog,begrusst,wollt,entschied,sofort,genau,beschloss,mittwochab,zustand,wochen,ausgeschloss,unklar,unmittelbar,gesproch,zeitpunkt,spat,wies,geaussert,septemb,sollt,bekanntgegeb,verzichtet
 ,0.085,0.039,0.034,0.028,0.027,0.027,0.025,0.021,0.02,0.019,0.019,0.015,0.015,0.013,0.013,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic62,bereich,einheit,aktivitat,struktur,ziel,zentral,gemeinsam,eigenstand,bisher,dusseldorf,bleib,viag,dach,veba,zukunft,neb,regional,einzeln,gehor,konzentri,gefuhrt,degussa,trennung,verbund,besteh,gesamt,wesent,getrennt,innerhalb,strateg,zustand,neuordn,jeweil,zusamm,integration,steht,schritt,strategi,konzentration,heisst,verschied,zud,weitgeh,erheb,plan,zug,umstrukturier,erhalt,beteil,weiterhin,ubrig,zunach,gleichzeit,ausricht,betont,trenn,geschaff,zusammengefasst,verstarkt,konzentriert,schwerpunkt,bring,verander,bleibt,neuausricht,rahm,basis,fuhr,gehort,abgeschloss,bedeut,sowohl,angestrebt,bislang,saul,anfang,insbesond,klein,erreich,ausserd,gestarkt,lieg,gebracht,dritt,geschaftsfeld,breit,angesiedelt,bess,umfass,position,aufbau,ausgerichtet,dadurch,aufgab,zusammenfuhr,fach,kooperation,bundeln,mittelfrist,aufteil
 ,0.043,0.016,0.014,0.014,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic63,bse,tier,bau,landwirtschaft,rind,landwirt,fleisch,test,kunast,verbot,betrieb,betroff,verbrauch,gefahr,eu,mensch,hof,verbraucherschutz,bauernverband,kris,kontroll,erreg,krankheit,agrarminist,landwirtschaftsminist,agrarpolit,grossbritanni,virus,behord,schwein,seuch,skandal,kuh,gesund,infiziert,renate_künast,ministerium,schaf,maul,massnahm,borchert,blut,aid,rinderwahnsinn,verdacht,tiermehl,klauenseuch,tierschutz,ministerin,untersuch,grun,mks,exportverbot,minist,bestand,alt,ubertrag,schutz,bislang,million,festgestellt,prob,vogelgripp,expert,verseucht,ausbruch,entdeckt,landwirtschaftsministerium,erkrankt,bestatigt,dbv,seehof,agrar,zustand,rinderseuche_bse,risiko,moksel,agrarreform,futt,durf,getestet,moglicherweis,gefund,importverbot,kalb,bundeslandwirtschaftsminist,teilt,hund,britisches_rindfleisch,erkrank,untersucht,landlich,handel,jochen_borchert,geflugel,infektion,getotet,agrarkommissar,ausserd,franz_fischler
 ,0.022,0.017,0.014,0.013,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic64,lufthansa,flughaf,fluggesellschaft,airlin,flug,frankfurt,air,flugzeug,passagi,gesellschaft,maschin,pilot,flieg,fluglini,air_france,start,swissair,ba,airport,british_airways,klm,streck,main,delta,ltu,luftverkehr,fraport,alitalia,billigflieg,ryanair,swiss,verbind,fluggast,flugverkehr,flott,million,air_berlin,allianz,luftfahrt,angebot,airways,iberia,fliegt,sabena,cockpit,easyjet,munch,sas,konkurrenz,dba,united,dusseldorf,jet,schonefeld,ticket,septemb,partn,terminal,united_airlines,kapazitat,ziel,ausbau,american_airlines,bord,flugsicher,rout,deutsche_lufthansa,auslast,bend,mayrhub,passagierzahl,kost,star_alliance,verlust,express,billig,carri,aua,zusatz,lini,leica,taglich,wettbewerb,konkurrent,frankfurter_flughafen,wohrl,millionen_passagiere,befordert,neb,zud,verkehr,drehkreuz,virgin,lh,bod,eurowing,pro,landebahn,grossflughaf,flugbetrieb
 ,0.044,0.042,0.033,0.021,0.02,0.016,0.014,0.013,0.012,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic65,staatsanwaltschaft,ermittl,verdacht,vorwurf,ermittelt,affar,untersuch,behord,zusammenhang,skandal,betrug,verfahr,ehemal,illegal,mitarbeit,staatsanwalt,ex,justiz,korruption,angeb,beschuldigt,eingeleitet,vorgeworf,ermittlungsverfahr,bestatigt,schad,erhob,person,manag,firma,bestech,anzeig,verstoss,eingestellt,durchsucht,unterlag,inzwisch,untreu,hinweis,verwickelt,durchsuch,steuerhinterzieh,bekannt,gefalscht,beamt,unregelmass,schmiergeld,generalstaatsanwalt,strafanzeig,oberstaatsanwalt,gerat,falsch,beschlagnahmt,untersucht,entlass,damal,strafrecht,anklag,teilt,ermitteln,haftbefehl,aufklar,leitend,laut,anwalt,verhaftet,vorgang,untersuchungshaft,wirft,kriminell,visi,moglicherweis,zahlung,amt,verdachtigt,dubios,erkenntnis,geldwasch,betroff,flowtex,erstattet,zustand,offenbar,wies,sichergestellt,intern,zuruckgewies,justizministerium,steuerfahnd,verantwort,berichtet,akt,aufgedeckt,pruf,pruft,gewusst,information,anschuld,geschadigt,entdeckt
 ,0.035,0.034,0.025,0.024,0.015,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
